"NO","HAPPINESS_INDEX","RELIGIOUSNESS_INDEX"
"1","0.69","0.67"
"2","0.83","0.36"
"3","0.44","0.83"
"4","1","1"
"5","0.94","0.97"
"6","0.39","0.92"
"7","0.72","0.75"
"8","0.72","0.44"
"9","0.81","1"
"10","0.92","0.97"
"11","0.92","0.17"
"12","0.72","1"
"13","0.53","0.83"
"14","0.86","0.83"
"15","0.94","1"
"16","0.67","1"
"17","0.5","0.36"
"18","0.83","0.56"
"19","0.86","0.17"
"20","0.92","0.28"
"21","0.92","0.64"
"22","0.86","0.83"
"23","1","1"
"24","0.58","0.36"
"25","0.47","0.78"
"26","0.97","0.33"
"27","0.94","1"
"28","1","0.06"
"29","0.92","0.81"
"30","0.11","0.78"
"31","0.94","1"
"32","0.25","0.25"
"33","1","0.5"
"34","0.78","0.42"
"35","0.25","0.39"
"36","0.89","0.28"
"37","0.64","0.83"
"38","0.94","0.67"
"39","1","0.51"
"40","0.75","0.75"
"41","1","0.33"
"42","0.94","1"
"43","0.86","0.36"
"44","0.75","0.83"
"45","0.69","1"
"46","0.97","0.22"
"47","0.47","0.78"
"48","0.89","0.33"
"49","0.25","0.25"
"50","0.75","0.25"
"51","0.94","0.42"
"52","0.72","0.25"
"53","1","0.83"
"54","0.78","0.25"
"55","0.56","0.25"
"56","0.5","0.97"
"57","0.89","0.44"
"58","0.92","0.58"
"59","0.94","0.31"
"60","0.83","1"
"61","0.92","0.25"
"62","0.83","0.25"
"63","0.97","0.28"
"64","0.83","0.28"
"65","0.97","0.61"
"66","0.72","0.61"
"67","0.75","0.01"
"68","0.83","0.42"
"69","0.78","0.5"
"70","0.42","0.36"
"71","0.33","0.25"
"72","1","0.83"
"73","0.97","0.97"
"74","0.81","0.83"
"75","0.53","0.39"
"76","0.83","0.5"
"77","0.97","0.33"
"78","0.67","0.36"
"79","0.94","0.25"
"80","0.94","0.33"
"81","0.72","1"
"82","0.17","0.36"
"83","0.78","0.33"
"84","0.78","0.44"
"85","0.97","0.42"
"86","0.47","0.83"
"87","0.92","0.83"
"88","0.75","0.58"
"89","0.31","0.81"
"90","0.47","1"
"91","0.25","0.25"
"92","0.72","0.33"
"93","0.92","0.81"
"94","0.81","0.31"
"95","0.92","0.25"
"96","0.61","0.28"
"97","0.61","0.25"
"98","0.69","0.75"
"99","0.72","1"
"100","0.86","0.83"